"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KIAA1875",0.501700385233883,-0.540775898912383,0.019,0.016,1
"CEACAM22P",0.501941278914033,-0.38239953988459,0.019,0.017,1
"G3BP2",0.502437698046295,-0.31761905823214,0.252,0.276,1
"TAF1C",0.503005986217897,-0.401287623747864,0.087,0.087,1
"ZNF257",0.503290336453501,-0.284772844151283,0.022,0.023,1
"ROCK2",0.503446211452206,-0.285194209629698,0.135,0.136,1
"IL7R",0.503450265689277,-0.39714587690273,0.02,0.026,1
"SYNGAP1-AS1",0.503735615943705,-1.0190303695268,0.01,0.013,1
"MSX1",0.503933175892054,-0.588749901636171,0.012,0.011,1
"AC013394.1",0.504001901039923,0.361135575369456,0.053,0.047,1
"PLA2G4E",0.504613507345704,-2.02461114597358,0.017,0.016,1
"FOXA1",0.504712551984484,-0.299478846819888,0.198,0.209,1
"PASK",0.504801934639062,-0.434510737622465,0.042,0.043,1
"REM2",0.50502004115425,-0.30749004891956,0.017,0.021,1
"ZNF497",0.505929572209244,0.25439073742457,0.032,0.029,1
"DSCC1",0.505990343389734,-0.268933914173108,0.038,0.041,1
"NEURL4",0.505991730145867,-0.361959647134563,0.032,0.028,1
"ZP3",0.506526285838009,0.331585815508153,0.072,0.069,1
"CCDC117",0.50674736280681,-0.372317222306837,0.112,0.13,1
"ARHGAP28",0.506777792776403,-0.5584584943165,0.01,0.01,1
"DNAJC3",0.506823991333159,-0.25306867269802,0.26,0.269,1
"RALGAPA1",0.507292195921534,-0.307520136476038,0.193,0.201,1
"SMA4",0.507984748432637,-0.552051783858436,0.015,0.014,1
"ADAMTS2",0.509533062829719,-0.832640313180807,0.022,0.017,1
"GDPD5",0.509780460218402,-0.642644015239264,0.028,0.027,1
"ZSCAN32",0.510655970890182,-0.283251390501117,0.05,0.054,1
"MFSD14C",0.511093832966841,-0.36272217520138,0.056,0.056,1
"SLC45A2",0.511611788495221,0.631700181640157,0.014,0.012,1
"TTTY15",0.511894530672812,-0.604588431872028,0.015,0.014,1
"DLL1",0.512022295536639,-0.323999415227664,0.019,0.015,1
"LOC100287792",0.512087132198241,-0.757104511615484,0.017,0.015,1
"AC105020.6",0.5124129325064,-0.299876961634809,0.011,0.01,1
"NADKD1",0.512467110672506,0.394697679526828,0.013,0.01,1
"ATP13A2",0.512845007622481,-0.276033492955111,0.132,0.141,1
"AATK",0.512933979584771,-0.529317721466998,0.019,0.023,1
"HTT",0.51330234697886,-0.309560381998863,0.15,0.156,1
"ZFAND2A",0.513312757230462,-0.30505528471092,0.134,0.14,1
"LUZP6",0.513429044759195,-0.37173733860446,0.017,0.02,1
"ZNF81",0.513706277724075,-0.428556140042137,0.026,0.028,1
"PAEP",0.513765056710294,0.590812392680098,0.012,0.01,1
"KIAA0930",0.513956806783793,-0.402263681045871,0.118,0.12,1
"SYNPO2",0.514656004674816,0.300635303474859,0.064,0.069,1
"PSD",0.51529116767407,-0.254952865773816,0.011,0.01,1
"PARP11",0.516073920218045,-0.316961863752312,0.058,0.057,1
"ATG14",0.51636440523234,-0.272186336021827,0.118,0.125,1
"FBXO15",0.517056305293423,0.428027121225652,0.018,0.016,1
"ZFP41",0.517407695647839,-0.35213149745723,0.043,0.042,1
"CYP2B7P1",0.51741285972639,-0.355094446838576,0.015,0.012,1
"ZNF321P",0.517471316687231,-0.6912864624896,0.015,0.014,1
"KLRG1",0.517888615436694,-0.84310616055902,0.02,0.019,1
"MICU3",0.518468173411421,-0.406220386913311,0.013,0.017,1
