"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SHMT1",1.53243142685485e-73,-2.07435051774958,0.149,0.615,5.77083026724999e-69
"MTRNR2L10",2.9614838928337e-73,-0.250344763718757,0.232,0.829,1.11523560436332e-68
"GAPDH",9.98577585783553e-73,1.71652067142995,0.977,0.975,3.7604434725437e-68
"ZNF385B",1.40094613956676e-72,-3.42201629901218,0.026,0.316,5.27568297238051e-68
"S100A11",1.47798668837357e-72,2.58560159669484,0.872,0.396,5.56580227107718e-68
"FABP3",1.97812304378777e-72,-3.65131358557553,0.02,0.295,7.44921575829599e-68
"FXYD1",2.068830419407e-72,-1.50125316546147,0.224,0.771,7.79080159340289e-68
"EGR1",5.53478747538552e-72,-2.00185219612772,0.445,0.898,2.08429026748068e-67
"YWHAZ",1.02357559369907e-71,3.13842723895517,0.813,0.52,3.85458097075197e-67
"TST",1.80798842565425e-71,-1.62699805480503,0.298,0.822,6.80852281332878e-67
"DPYS",3.50087968888992e-71,-1.97875683336709,0.103,0.545,1.31836127324217e-66
"ACAA1",6.53217006542274e-71,-1.72557403350089,0.284,0.796,2.4598846032369e-66
"MT-ND2",7.36329430921917e-71,-0.861663873481191,0.939,1,2.77286937096576e-66
"SDSL",7.95557002387562e-71,-1.7668023486091,0.195,0.691,2.99590855959108e-66
"CGNL1",2.62865937020527e-70,-2.8147201604295,0.065,0.433,9.89900545631899e-66
"SARDH",2.95192097680514e-70,-2.70160608230528,0.036,0.345,1.11163440144528e-65
"ATOX1",3.05890207253043e-70,-1.27328848896867,0.733,0.971,1.15192134247351e-65
"UBB",4.97203246329238e-70,-1.2951127785178,0.844,0.996,1.87236798502665e-65
"PLGLB1",6.53329245814046e-70,-2.04879304540097,0.082,0.48,2.46030727388653e-65
"FMO3",8.64835855484966e-70,-1.59232373838367,0.074,0.473,3.25679886458528e-65
"GABARAPL1",1.38719836504466e-69,-1.61407538196445,0.137,0.604,5.22391160308519e-65
"NDUFA4",1.390130615265e-69,-1.04579593015663,0.877,0.993,5.23495387096493e-65
"HSD17B4",1.68707526648344e-69,-2.09382752963599,0.17,0.64,6.35318803852334e-65
"HYAL1",2.46112156965367e-69,-1.98202576150256,0.128,0.575,9.26809160700179e-65
"YBX1",3.53960019319896e-69,2.24916036833688,0.846,0.713,1.33294264075486e-64
"SRGN",5.37513488684165e-69,-2.13202248024008,0.054,0.407,2.02416829568683e-64
"ITIH2",6.3026891058293e-69,-1.22987549787882,0.234,0.785,2.3734666634732e-64
"SLC17A2",6.80711474571366e-69,-3.61009632893009,0.017,0.269,2.56342327094085e-64
"SLC22A9",7.25218388857676e-69,-2.88187056783162,0.037,0.349,2.73102740876024e-64
"PGRMC1",7.31162607959387e-69,-1.66576160009984,0.489,0.898,2.75341214905346e-64
"RORA",1.26024306924222e-68,-2.03493350703325,0.151,0.615,4.74582335015234e-64
"SMCO2",1.62384645590295e-68,-3.66817625020235,0.01,0.236,6.11508098363931e-64
"GAMT",1.98819526533719e-68,-1.59179179893253,0.37,0.88,7.48714573020679e-64
"ALAD",2.32724291626769e-68,-2.15905857326688,0.105,0.52,8.76393137408085e-64
"TF",3.8311463193091e-68,-1.67074646874019,0.331,0.825,1.44273308092542e-63
"ALDH1B1",4.48813225697815e-68,-1.89511581664372,0.162,0.636,1.69014084533283e-63
"RGN",5.09993698355901e-68,-2.24178788664636,0.106,0.516,1.92053426926865e-63
"TM7SF2",7.91705194747529e-68,-1.73476833251584,0.288,0.782,2.98140342238024e-63
"LRCOL1",8.3442874509912e-68,-5.24442087303626,0.005,0.204,3.14229176829427e-63
"FAHD2B",1.11398211986576e-67,-3.12458125065188,0.034,0.331,4.19503386699049e-63
"F9",1.49776869732286e-67,-3.56897805255164,0.017,0.265,5.64029736037842e-63
"CES1",2.62703306585485e-67,-0.661349704544716,0.303,0.811,9.8928811193962e-63
"HSPA1B",3.20625777286654e-67,-1.95528841382277,0.605,0.949,1.20741255210608e-62
"RPL36",4.47743330534994e-67,1.42909157145686,0.974,1,1.68611183412868e-62
"TMSB10",7.38261114626877e-67,2.0160547433416,0.971,0.985,2.78014370546189e-62
"MUT",9.18447378036789e-67,-1.94450217908486,0.141,0.589,3.45868913621094e-62
"MRPS18B",9.78079499030732e-67,-1.66038117629522,0.341,0.833,3.68325177744993e-62
"CYFIP2",1.17547460848187e-66,-1.64684205773227,0.146,0.615,4.42660228062104e-62
"AMBP",1.63646562061361e-66,-1.79259629927949,0.504,0.844,6.16260223410672e-62
"RBP5",1.85255717181631e-66,-1.85245473365191,0.044,0.364,6.97635979762587e-62
"CPB2",2.54152439849582e-66,-1.19754540337612,0.259,0.825,9.57087257985557e-62
"NEU4",7.7593636778754e-66,-2.64482988158465,0.036,0.335,2.92202117381432e-61
"RPS12",2.51643803346661e-65,1.38983422820558,0.984,0.993,9.47640234642856e-61
"CFH",3.48812786280112e-65,-1.3186091930978,0.471,0.949,1.31355919057365e-60
"PROC",4.39790453732877e-65,-1.74114357291076,0.242,0.727,1.65616289066727e-60
"SORD",5.75896392147262e-65,-2.03297301763327,0.209,0.662,2.16871063354816e-60
