"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MIR210HG",0.0611667251300437,-0.294191507914295,0.048,0.049,1
"APOL4",0.0611693596307953,0.265150775693329,0.015,0.011,1
"ZNF589",0.0612645667811047,-0.839754555864524,0.034,0.042,1
"CLDN15",0.0612817136672737,-0.614174261332233,0.066,0.084,1
"ZNF382",0.0614214412854657,-0.603145465650407,0.025,0.034,1
"LINC00957",0.0615942339724346,-0.498739186006528,0.025,0.035,1
"ZBTB20",0.061754463061591,-0.584227587627492,0.181,0.191,1
"TNFRSF11A",0.061789502691699,-0.286692432232078,0.012,0.015,1
"HR",0.0620433325492203,-0.587053698557098,0.024,0.036,1
"LAMB1",0.0621442838479341,-0.789822856170064,0.031,0.025,1
"TMEM248",0.0621474209861434,-0.252498509662819,0.227,0.217,1
"TBX2-AS1",0.0621876205488629,0.305264532093089,0.011,0.008,1
"RBM10",0.0623456543198959,-0.377811851842716,0.146,0.163,1
"MS4A6A",0.0624666783032806,-1.07629769877494,0.01,0.014,1
"KMT2A",0.0626920493332286,-0.317671327244748,0.191,0.205,1
"CYTH3",0.0627895408554609,-0.695741454403052,0.039,0.048,1
"IL1RN",0.0628720073819259,-0.953910670483096,0.022,0.032,1
"ZNF285",0.0628938920872948,-0.738863463218886,0.014,0.017,1
"C12orf73",0.0630315427762099,-0.270895533126144,0.112,0.127,1
"BTAF1",0.0630320496071153,-0.355417210849356,0.092,0.09,1
"AL035420.3",0.0631622657269946,0.697743754451779,0.012,0.008,1
"NACC1",0.06342142639991,-0.348776779018902,0.106,0.116,1
"LINC02224",0.0635349201156224,-0.437111362895007,0.039,0.051,1
"MUM1",0.0635763960467031,-0.457606509266549,0.145,0.161,1
"SEMA6A",0.0636688492626011,0.467839636688958,0.034,0.029,1
"ZNF493",0.063910659223625,-0.39636405760035,0.111,0.121,1
"KIF18B",0.0639127681204259,-0.560646631547096,0.01,0.013,1
"AC022784.3",0.0639596162998291,-0.520931536871032,0.011,0.016,1
"CLOCK",0.0641248771658265,-0.347097244560089,0.123,0.141,1
"SSC4D",0.0641734452484156,0.369188724949063,0.014,0.013,1
"LRRC8B",0.0641756557752935,-0.413472316565948,0.054,0.066,1
"KAZN",0.0642206516650621,-0.444486283946511,0.092,0.11,1
"SMURF2",0.0643327383642232,-0.566708036952364,0.073,0.082,1
"ANTXR1",0.0643549899974949,-1.02177724605534,0.062,0.069,1
"GDF9",0.0644010318762527,0.46911566323281,0.011,0.007,1
"GAS6-AS1",0.0644046459653725,-2.25213175007417,0.008,0.012,1
"HEG1",0.0645393196026434,-1.56140362664926,0.013,0.017,1
"JADE3",0.0646072991140877,-0.331471347943107,0.046,0.053,1
"MEPCE",0.0647593083937033,-0.387387612442465,0.097,0.115,1
"MOB4",0.0648980148095236,-0.376825205022494,0.144,0.15,1
"KIAA1755",0.064946671378661,-0.660677990073566,0.016,0.023,1
"ZNF547",0.0649515547066411,-0.679309870275583,0.008,0.012,1
"USP34",0.0653634442791061,-0.345763308394315,0.228,0.242,1
"ANKIB1",0.06543578831424,-0.371471581827864,0.125,0.139,1
"MFSD14C",0.0655187530708626,-0.282330135554592,0.059,0.054,1
