"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LOC400684",7.43673991454919e-06,1.46404357365579,0.084,0.036,0.280052751702093,"LOC400684"
"MTMR2",7.47634962064782e-06,0.340428592354373,0.537,0.409,0.281544374014356,"MTMR2"
"NRARP",7.5073236287582e-06,1.98156879232519,0.025,0.003,0.282710793211776,"NRARP"
"FUBP3",7.52960434261316e-06,0.379055791939195,0.304,0.208,0.283549840334126,"FUBP3"
"G3BP2",7.54592329433678e-06,0.494918415298231,0.57,0.472,0.284164379418135,"G3BP2"
"H1FX",7.57031703014134e-06,1.06775427548439,0.173,0.102,0.285082998721063,"H1FX"
"CYFIP2",7.57647260967663e-06,-0.810658143147245,0.2,0.276,0.285314805535202,"CYFIP2"
"KRT8",7.607219647366e-06,1.35252552043895,0.51,0.435,0.286472677480509,"KRT8"
"SIPA1L2",7.63896694692686e-06,0.504933398057568,0.359,0.255,0.287668217287372,"SIPA1L2"
"C5orf63",7.6425965502645e-06,1.1145150788498,0.151,0.086,0.287804900889861,"C5orf63"
"ST3GAL5",7.66931955980775e-06,-1.2913812423377,0.398,0.443,0.28881123598324,"ST3GAL5"
"CSMD1",7.7305744079554e-06,1.67753451516909,0.142,0.08,0.291117971054785,"CSMD1"
"FOLR1",7.74049874091266e-06,-3.36029587513114,0.002,0.031,0.291491701585289,"FOLR1"
"C21orf49",7.82896874642874e-06,-0.558771415497221,0.185,0.107,0.294823305053014,"C21orf49"
"PSME2",7.83670403233532e-06,-0.400949759976963,0.707,0.748,0.295114600449683,"PSME2"
"LOC100131257",7.87688545249147e-06,-0.478700846492118,0.999,0.987,0.296627752369924,"LOC100131257"
"PARP16",7.95863898450054e-06,0.287128526948107,0.258,0.171,0.299706426878321,"PARP16"
"CBX6",8.01336436278666e-06,0.433357111655256,0.268,0.179,0.30176727517382,"CBX6"
"ZNF660",8.03457279087283e-06,0.939894285379416,0.094,0.043,0.302565942158689,"ZNF660"
"TMEM219",8.05606720173205e-06,-0.372693554071597,0.686,0.739,0.303375378682826,"TMEM219"
"NUBPL",8.06950756044154e-06,-0.423558673787688,0.724,0.533,0.303881515711108,"NUBPL"
"PHF8",8.07165173675332e-06,0.364692156392153,0.368,0.265,0.303962261102657,"PHF8"
